"pdf_path","url","content"
"output/pdfs-2024/PaIcR72y1733927310.pdf","https://goo.su/o5FMq","Error: HTTP 400"
"output/pdfs-2024/PaIcR72y1733927310.pdf","https://goo.su/EUMeX3","[Source: www.facebook.com] Redirecting..."
"output/pdfs-2024/PaIcR72y1733927310.pdf","https://goo.su/AzhpKUI","[Source: x.com] JavaScript is not available. We’ve detected that JavaScript is disabled in this browser. Please enable JavaScript or switch to a supported browser to continue using x.com. You can see a list of supported browsers in our Help Center. Help Center Terms of Service Privacy Policy Cookie Policy Imprint Ads info © 2025 X Corp. Something went wrong, but don’t fret — let’s give it another shot. Try again Firefox’s Enhanced Tracking Protection (Strict Mode) is known to cause issues on x.com"
"output/pdfs-2024/PaIcR72y1733927310.pdf","https://goo.su/WxJgP","[Source: m.facebook.com] #Galápagos | Las Fuerzas Armadas del... - Armada del Ecuador | Facebook This browser is not supported Use Facebook app tap to use a supported browser Safari Chrome"
"output/pdfs-2024/PaIcR72y1733927310.pdf","https://goo.su/C3mjQpv","Error: HTTP 400"
"output/pdfs-2024/PaIcR72y1733927310.pdf","https://goo.su/3iZhL","[Source: x.com] JavaScript is not available. We’ve detected that JavaScript is disabled in this browser. Please enable JavaScript or switch to a supported browser to continue using x.com. You can see a list of supported browsers in our Help Center. Help Center Terms of Service Privacy Policy Cookie Policy Imprint Ads info © 2025 X Corp. Something went wrong, but don’t fret — let’s give it another shot. Try again Firefox’s Enhanced Tracking Protection (Strict Mode) is known to cause issues on x.com"
"output/pdfs-2024/PaIcR72y1733927310.pdf","https://goo.su/Hfoky","[Source: x.com] JavaScript is not available. We’ve detected that JavaScript is disabled in this browser. Please enable JavaScript or switch to a supported browser to continue using x.com. You can see a list of supported browsers in our Help Center. Help Center Terms of Service Privacy Policy Cookie Policy Imprint Ads info © 2025 X Corp. Something went wrong, but don’t fret — let’s give it another shot. Try again Some privacy related extensions may cause issues on x.com. Please disable them and try again."
"output/pdfs-2024/PaIcR72y1733927310.pdf","https://goo.su/v1if1Q0","[Source: goo.su] Redirecting Redirecting... Please wait"
"output/pdfs-2024/PaIcR72y1733927310.pdf","https://goo.su/An9jjp","[Source: goo.su] Redirecting Redirecting... Please wait"
"output/pdfs-2024/PaIcR72y1733927310.pdf","https://goo.su/7WnUSJ","[Source: www.argentina.gob.ar] Prefectura rescató a dos personas tras el hundimiento de una embarcación en San Isidro | Argentina.gob.ar Presidencia de la Nación Pasar al contenido principal Ir a Mi Argentina Buscar Cerrar el buscador Mi Argentina Dejar en blanco Buscar en el sitio Buscar en el sitio Inicio Ministerio de Seguridad Nacional Prefectura Naval Argentina Noticias de la PNA Prefectura rescató a dos personas tras el hundimiento de una embarcación en San Isidro Prefectura rescató a dos personas tras el hundimiento de una embarcación en San Isidro Personal de la Prefectura Naval Argentina asistió a dos navegantes que quedaron a la deriva en la zona del Canal Costanero de la localidad de San Isidro, luego de que su embarcación deportiva diera la vuelta campana. 25 de noviembre de 2024 Compartir en Facebook Compartir en X Compartir en Linkedin Compartir en Whatsapp Compartir en Telegram El incidente fue reportado mediante una comunicación recibida en el canal 16 VHF, a través de la cual se informó de una embarcación tipo “SNIPE” semisumergida, a la altura del kilómetro 22 del Canal Costanero. Ante esto, Prefectura envió un equipo de rescate a bordo de un bote plástico, quienes localizaron a los tripulantes sujetos a los restos del velero. Las personas rescatadas, de 75 años y de 49 años, fueron extraídas del agua y trasladadas a la Prefectura. Allí recibieron abrigo, alimentos e infusiones calientes, hasta el arribo de personal perteneciente al Sistema de Emergencias Médicas (SIEM), quienes certificaron el buen estado de salud de los damnificados, sin necesidad de derivación. Según relataron las víctimas del infortunio, zarparon desde el Club Náutico “Tribunales” para realizar una navegación de placer. Durante el trayecto, sufrieron el quiebre del mástil, provocando que la embarcación diera la vuelta campana y quedase semi-sumergida. Noticias relacionadas 28 de febrero de 2025 Prefectura fue reconocida por su accionar durante un incendio ocurrido en Santa Fe 27 de febrero de 2025 Orquestas unidas: músicos de la Prefectura Naval Argentina y estudiantes de la Escuela de Berisso compartieron un emocionante concierto 27 de febrero de 2025 Prefectura Naval Argentina y la Coast Guard de EE. UU. refuerzan lazos en ceremonia de ascenso Trámites Turnos Trámites a distancia Atención a la ciudadanía Acerca de la República Argentina Nuestro país Leyes argentinas Organismos Mapa del Estado Acerca de Argentina.gob.ar Acerca de este sitio Términos y condiciones Sugerencias Scroll hacia arriba"
