Vessel name,IMO Number,Flag,MMSI,Callsign,National registration number,Crime Report Links,Crime report links
FLORIDA,,,,,P-00-00899,"https://goo.su/zIqY, https://goo.su/g1yUfGG, https://goo.su/549SF, https://goo.su/IPgHW3y, https://goo.su/UP2G5a, https://goo.su/tVhE, https://goo.su/baBiiKw, https://goo.su/ozLZ, https://goo.su/cVUfbUm, https://goo.su/C4Q0, https://goo.su/EBiMvg, https://goo.su/UmwS4, https://goo.su/Yhg0PPF, https://goo.su/VFXR, https://goo.su/XI6IEX, https://goo.su/I8xf, https://goo.su/pAAR2d, https://goo.su/qCzlvas, https://goo.su/zHPF, https://goo.su/qzBLVk, https://goo.su/JHTjpW1, https://goo.su/9wl1MU, https://goo.su/Xkux, https://goo.su/fJhwLbe, https://goo.su/Zg0Fu, https://goo.su/1D6iaoc, https://goo.su/U9YnJb, https://goo.su/lcSkwmO, https://goo.su/JZUSt, https://goo.su/Z9k4euq, https://goo.su/tFCTBhV, https://goo.su/UKwNzeU, https://goo.su/owA6k, https://goo.su/YUcX, https://goo.su/ZBWsV, https://goo.su/VHtYqK, https://goo.su/L3DeCsP, https://goo.su/c0KQnNP, https://goo.su/wau5B, https://goo.su/9pnU5zi, https://goo.su/vVgsCL, https://goo.su/7VFT6aa, https://goo.su/rW21KI, https://goo.su/pDexGI, https://goo.su/fzAKQY6, https://goo.su/gVAQH, https://goo.su/zz5om, https://goo.su/FUyHxw, https://goo.su/QqsKK1, https://goo.su/UflyI, https://goo.su/QFzRz, https://goo.su/OSDk, https://goo.su/airYkBj, https://goo.su/YPGJ1, https://acortar.link/Uts2Fc, https://goo.su/mvLQTh, https://goo.su/dar9OJq, https://goo.su/JAbBK, https://goo.su/UxxYNJ, https://goo.su/72Qul, https://goo.su/B4eZZ, https://goo.su/e7Sec, https://goo.su/QfyaA, https://goo.su/CSboDk, https://goo.su/WB8O7, https://goo.su/1HZM4B, https://goo.su/w0lRSH, https://goo.su/zeqFHb, https://goo.su/55UUU0, https://goo.su/y3Uje, https://goo.su/M4OJJz6, https://goo.su/mnls7Q, https://goo.su/msoT, https://goo.su/OIqhk, https://goo.su/QUOG, https://goo.su/QijOTG, https://goo.su/yYld, https://goo.su/OGNn, https://goo.su/ZZSQMF, https://goo.su/l7yUhS, https://goo.su/khii, https://goo.su/GJNqm, https://goo.su/caMA3Br, https://goo.su/sCch, https://goo.su/nQabXE7, https://goo.su/kHi7P, https://goo.su/l6Tm, https://goo.su/IbUcSK, https://goo.su/y3Kq, https://goo.su/Eyjh8h, https://goo.su/KkxI, https://goo.su/U1HN, https://goo.su/vLp0, https://goo.su/v1mNU, https://goo.su/Xg0Y, https://goo.su/mJILW, https://goo.su/HXFOAcE, https://goo.su/zcJUstj, https://goo.su/aVjku, https://goo.su/Wv6wP, https://goo.su/BFUdYNy, https://goo.su/vqs2KmE, https://goo.su/eoLQG, https://goo.su/MEXE, https://goo.su/uzYIu, https://goo.su/XC8GMtq, https://goo.su/FF2YlE, https://goo.su/fbF3XKz, https://goo.su/fbF3XKz, https://goo.su/ckGUo, https://goo.su/EKv0Q, https://goo.su/DLG5, https://goo.su/prgu39D, https://goo.su/AnDfyp, https://goo.su/ajiMsl, https://goo.su/4cb0F, https://goo.su/EvzhM, https://goo.su/c8SRF, https://goo.su/qp09AF, https://goo.su/ESNjc, https://goo.su/U6UL, https://goo.su/1ihkF, https://goo.su/fnns3, https://goo.su/lNFa, https://goo.su/OojsvFS, https://goo.su/35N1dr, https://goo.su/Yy07J5, https://goo.su/DNvMQc, https://goo.su/w2iApSv, https://goo.su/k8MFiA7, https://goo.su/x0La, https://goo.su/JZ97vg, https://goo.su/4QDUc, https://goo.su/PsiXP, https://goo.su/SPovq2, https://goo.su/XFAUy, https://goo.su/vUHil, https://goo.su/zOFEO, https://goo.su/yhCR06i, https://goo.su/mNWbOS, https://goo.su/Hs0R","https://goo.su/zIqY, https://goo.su/g1yUfGG, https://goo.su/549SF, https://goo.su/IPgHW3y, https://goo.su/UP2G5a, https://goo.su/tVhE, https://goo.su/baBiiKw, https://goo.su/ozLZ, https://goo.su/cVUfbUm, https://goo.su/C4Q0, https://goo.su/EBiMvg, https://goo.su/UmwS4, https://goo.su/Yhg0PPF, https://goo.su/VFXR, https://goo.su/XI6IEX, https://goo.su/I8xf, https://goo.su/pAAR2d, https://goo.su/qCzlvas, https://goo.su/zHPF, https://goo.su/qzBLVk, https://goo.su/JHTjpW1, https://goo.su/9wl1MU, https://goo.su/Xkux, https://goo.su/fJhwLbe, https://goo.su/Zg0Fu, https://goo.su/1D6iaoc, https://goo.su/U9YnJb, https://goo.su/lcSkwmO, https://goo.su/JZUSt, https://goo.su/Z9k4euq, https://goo.su/tFCTBhV, https://goo.su/UKwNzeU, https://goo.su/owA6k, https://goo.su/YUcX, https://goo.su/ZBWsV, https://goo.su/VHtYqK, https://goo.su/L3DeCsP, https://goo.su/c0KQnNP, https://goo.su/wau5B, https://goo.su/9pnU5zi, https://goo.su/vVgsCL, https://goo.su/7VFT6aa, https://goo.su/rW21KI, https://goo.su/pDexGI, https://goo.su/fzAKQY6, https://goo.su/gVAQH, https://goo.su/zz5om, https://goo.su/FUyHxw, https://goo.su/QqsKK1, https://goo.su/UflyI, https://goo.su/QFzRz, https://goo.su/OSDk, https://goo.su/airYkBj, https://goo.su/YPGJ1, https://acortar.link/Uts2Fc, https://goo.su/mvLQTh, https://goo.su/dar9OJq, https://goo.su/JAbBK, https://goo.su/UxxYNJ, https://goo.su/72Qul, https://goo.su/B4eZZ, https://goo.su/e7Sec, https://goo.su/QfyaA, https://goo.su/CSboDk, https://goo.su/WB8O7, https://goo.su/1HZM4B, https://goo.su/w0lRSH, https://goo.su/zeqFHb, https://goo.su/55UUU0, https://goo.su/y3Uje, https://goo.su/M4OJJz6, https://goo.su/mnls7Q, https://goo.su/msoT, https://goo.su/OIqhk, https://goo.su/QUOG, https://goo.su/QijOTG, https://goo.su/yYld, https://goo.su/OGNn, https://goo.su/ZZSQMF, https://goo.su/l7yUhS, https://goo.su/khii, https://goo.su/GJNqm, https://goo.su/caMA3Br, https://goo.su/sCch, https://goo.su/nQabXE7, https://goo.su/kHi7P, https://goo.su/l6Tm, https://goo.su/IbUcSK, https://goo.su/y3Kq, https://goo.su/Eyjh8h, https://goo.su/KkxI, https://goo.su/U1HN, https://goo.su/vLp0, https://goo.su/v1mNU, https://goo.su/Xg0Y, https://goo.su/mJILW, https://goo.su/HXFOAcE, https://goo.su/zcJUstj, https://goo.su/aVjku, https://goo.su/Wv6wP, https://goo.su/BFUdYNy, https://goo.su/vqs2KmE, https://goo.su/eoLQG, https://goo.su/MEXE, https://goo.su/uzYIu, https://goo.su/XC8GMtq, https://goo.su/FF2YlE, https://goo.su/fbF3XKz, https://goo.su/fbF3XKz, https://goo.su/ckGUo, https://goo.su/EKv0Q, https://goo.su/DLG5, https://goo.su/prgu39D, https://goo.su/AnDfyp, https://goo.su/ajiMsl, https://goo.su/4cb0F, https://goo.su/EvzhM, https://goo.su/c8SRF, https://goo.su/qp09AF, https://goo.su/ESNjc, https://goo.su/U6UL, https://goo.su/1ihkF, https://goo.su/fnns3, https://goo.su/lNFa, https://goo.su/OojsvFS, https://goo.su/35N1dr, https://goo.su/Yy07J5, https://goo.su/DNvMQc, https://goo.su/w2iApSv, https://goo.su/k8MFiA7, https://goo.su/x0La, https://goo.su/JZ97vg, https://goo.su/4QDUc, https://goo.su/PsiXP, https://goo.su/SPovq2, https://goo.su/XFAUy, https://goo.su/vUHil, https://goo.su/zOFEO, https://goo.su/yhCR06i, https://goo.su/mNWbOS, https://goo.su/Hs0R"
CARIPE,,,,,P-00-00903,,
PIQUERO,,,,,P-00-00904,,
BAMAR VII,,,,,P-00-00916,,
JORGE ANTONIO I,,,,PT32104,P-12-00005,,
CARLITOS I,,Ecuador,,HC6610,P-04-01095,,
VOLUNTAD DE DIOS,,,,,P-00-00042,,
ANA JULIA,,,,,P-00-00052,,
WILLY FIRST,,,,,P-00-00116,,
RAFAELITO N.1,,,,,P-00-00132,,
MARIA ALEJANDRA II,,,,,P-00-00147,,
CARIDAD DEL COBRE,,,,,P-00-00189,,
ROBERTO,,,247120310.0,IVHT,P-00-00203,"https://goo.su/EXVdUhC, https://goo.su/yJXfq, https://goo.su/EUQMFP, https://goo.su/CoHSzLQ, https://goo.su/HzWGc, https://goo.su/ZDTFF, https://goo.su/VD2e0, https://goo.su/wisk6P7, https://goo.su/pbYvyZh, https://goo.su/wN2w2jt, https://goo.su/yW0vUG, https://goo.su/NNji, https://goo.su/m3RKVT, https://goo.su/UOY2sr, https://goo.su/95OQy, https://goo.su/TC1j, https://goo.su/8uyUP, https://goo.su/7q2A8, https://goo.su/iPEVH, https://goo.su/6Fhr1zp, https://goo.su/LSNeF, https://goo.su/ANYRgXU, https://goo.su/v7Gq, https://goo.su/GXuIHgF, https://goo.su/BjBvJyD, https://goo.su/yfIlJm, https://goo.su/ONnG, https://goo.su/ndIEL, https://goo.su/KpcZW7, https://goo.su/Nm5UQI, https://goo.su/U1RFOo1, https://goo.su/x7Km, https://goo.su/0aXfD, https://goo.su/sibMs, https://goo.su/qME3gY, https://goo.su/jdzA4, https://goo.su/aVvLbf, https://goo.su/TLj3, https://acortar.link/WsKHC5, https://goo.su/TtZx7rz, https://goo.su/JEe84r, https://goo.su/0oSnJ","https://goo.su/EXVdUhC, https://goo.su/yJXfq, https://goo.su/EUQMFP, https://goo.su/CoHSzLQ, https://goo.su/HzWGc, https://goo.su/ZDTFF, https://goo.su/VD2e0, https://goo.su/wisk6P7, https://goo.su/pbYvyZh, https://goo.su/wN2w2jt, https://goo.su/yW0vUG, https://goo.su/NNji, https://goo.su/m3RKVT, https://goo.su/UOY2sr, https://goo.su/95OQy, https://goo.su/TC1j, https://goo.su/8uyUP, https://goo.su/7q2A8, https://goo.su/iPEVH, https://goo.su/6Fhr1zp, https://goo.su/LSNeF, https://goo.su/ANYRgXU, https://goo.su/v7Gq, https://goo.su/GXuIHgF, https://goo.su/BjBvJyD, https://goo.su/yfIlJm, https://goo.su/ONnG, https://goo.su/ndIEL, https://goo.su/KpcZW7, https://goo.su/Nm5UQI, https://goo.su/U1RFOo1, https://goo.su/x7Km, https://goo.su/0aXfD, https://goo.su/sibMs, https://goo.su/qME3gY, https://goo.su/jdzA4, https://goo.su/aVvLbf, https://goo.su/TLj3, https://acortar.link/WsKHC5, https://goo.su/TtZx7rz, https://goo.su/JEe84r, https://goo.su/0oSnJ"
MARIA BELEN,,,,,P-00-00219,,
B/P AMAZONAS EX POLARIS A,,,,,P-00-00222,,
SANGAY,,,,,P-00-00223,,
CLAUDIO JAVIER,,,,,P-00-00229,,
FATIMA S,,,,,P-00-00244,,
NIKOLAY,,,,,P-00-00247,,
ANA MARIA,,,,,P-00-00251,,
MERAKI,,,,,P-00-00261,,
GLORIA ELENA,,,,,P-00-00266,,
INES MARIA,,,,,P-00-00267,,
HOLANDÉS HERRANTE,,,,,P-00-00275,,
SANGAY NO.2,,,,,P-00-00280,,
DON MANUEL,9141560.0,,,cb5989,P-00-00281,,
ARIES,,United States,,WCF3888,P-00-00289,"https://goo.su/qg7TB, https://goo.su/XMmnLY","https://goo.su/qg7TB, https://goo.su/XMmnLY"
PACIFICO 998,,,,,P-00-00300,,
JOSE MANUEL,,Spain,,,P-00-00310,,
BISMARK,8544442.0,,247084310.0,INZW,P-00-00325,,
CIUDAD DE QUITO,,,,,P-00-00337,,
ANAMAR,,,,,P-00-00352,,
MARCOS JR,,,,,P-00-00356,,
COTOPAXI,,,,,P-00-00373,"https://goo.su/Reocd, https://goo.su/0aXfD","https://goo.su/Reocd, https://goo.su/0aXfD"
GRACIAS A DIOS,,,,,P-00-00378,"https://goo.su/TUyC, https://goo.su/v0L3, https://goo.su/0z7fhVy, https://goo.su/ZQFQL, https://goo.su/Kfn5, https://goo.su/GJqG, https://goo.su/UPpe3X1, https://goo.su/QfpA","https://goo.su/TUyC, https://goo.su/v0L3, https://goo.su/0z7fhVy, https://goo.su/ZQFQL, https://goo.su/Kfn5, https://goo.su/GJqG, https://goo.su/UPpe3X1, https://goo.su/QfpA"
SANTA ELENA,3558383.0,,,P3UK,P-00-00384,"https://goo.su/E2rhyBk, https://goo.su/ynirP, https://goo.su/RauzO, https://goo.su/8f0WS4, https://goo.su/zEcz, https://goo.su/N19Lzm, https://goo.su/dPql5m, https://goo.su/0Rb9Ce, https://goo.su/PUGQ, https://goo.su/rAEJOX9, https://goo.su/HLDGEq, https://goo.su/U1RFOo1, https://goo.su/x7Km, https://goo.su/pEBm, https://goo.su/5wmGB5X, https://goo.su/jYw5Mc, https://goo.su/YJPf4U, https://goo.su/JfGg, https://goo.su/u4el, https://goo.su/U6J9Ar, https://goo.su/glfLbiS, https://goo.su/RwxKZ, https://goo.su/SX7U9M, https://goo.su/xmGpg, https://goo.su/AeQ2YKk, https://goo.su/FUImv","https://goo.su/E2rhyBk, https://goo.su/ynirP, https://goo.su/RauzO, https://goo.su/8f0WS4, https://goo.su/zEcz, https://goo.su/N19Lzm, https://goo.su/dPql5m, https://goo.su/0Rb9Ce, https://goo.su/PUGQ, https://goo.su/rAEJOX9, https://goo.su/HLDGEq, https://goo.su/U1RFOo1, https://goo.su/x7Km, https://goo.su/pEBm, https://goo.su/5wmGB5X, https://goo.su/jYw5Mc, https://goo.su/YJPf4U, https://goo.su/JfGg, https://goo.su/u4el, https://goo.su/U6J9Ar, https://goo.su/glfLbiS, https://goo.su/RwxKZ, https://goo.su/SX7U9M, https://goo.su/xmGpg, https://goo.su/AeQ2YKk, https://goo.su/FUImv"
SANTA ISABEL,,,,,P-00-00385,"https://goo.su/EWIxMk, https://goo.su/OzJV7n, https://goo.su/zPdc, https://goo.su/URo2, https://goo.su/jgGc","https://goo.su/EWIxMk, https://goo.su/OzJV7n, https://goo.su/zPdc, https://goo.su/URo2, https://goo.su/jgGc"
ROSA STEFANIA,,,,,P-00-00390,,
ANA BELEN,,,,,P-00-00391,,
BEATUS,,,,,P-00-00392,,
DON JIMMY,,,,,P-00-00396,,
ESTRELLA DEL MAR,,,,,P-00-00423,,
ISABELA PRINCESS,,,,,P-00-00460,,
LOA 4,,Ecuador,,,P-00-00934,,
PICHINCHA,,,,,P-00-00475,https://goo.su/3Zgt3G,https://goo.su/3Zgt3G
ROOSMEL,,,,,P-00-00480,,
SAMUEL,,Spain,,,P-00-00567,"https://goo.su/CoHSzLQ, https://goo.su/UjGZhOf, https://goo.su/jFkB9E6, https://goo.su/vqs2KmE, https://goo.su/ckGUo, https://goo.su/4cb0F, https://goo.su/mzlc, https://goo.su/mzlc, https://goo.su/PsiXP, https://goo.su/mNWbOS","https://goo.su/CoHSzLQ, https://goo.su/UjGZhOf, https://goo.su/jFkB9E6, https://goo.su/vqs2KmE, https://goo.su/ckGUo, https://goo.su/4cb0F, https://goo.su/mzlc, https://goo.su/mzlc, https://goo.su/PsiXP, https://goo.su/mNWbOS"
JOSE CARLOS,,,,,P-00-00568,,
MARIA LAVINIA,,,,,P-00-00582,,
PACIFICO,,,247081720.0,ILPB,P-00-00593,"https://goo.su/lobe6, https://goo.su/xyfB, https://goo.su/ypVA7","https://goo.su/lobe6, https://goo.su/xyfB, https://goo.su/ypVA7"
VIRGEN DE FATIMA,,Ecuador,,,P-00-00883,,
ATLANTIC I,,,,,P-00-00597,,
IVONNE,,,,,P-00-00601,,
SANTA MARIANITA,,,,,P-00-00630,,
DIEGO E,,,,,P-00-00634,,
SAN VICENTE,,,,,P-00-00635,"https://goo.su/I8UK0BE, https://goo.su/B121, https://goo.su/eMKk, https://goo.su/BYriNpi, https://goo.su/OFrUYrd, https://goo.su/929XQ","https://goo.su/I8UK0BE, https://goo.su/B121, https://goo.su/eMKk, https://goo.su/BYriNpi, https://goo.su/OFrUYrd, https://goo.su/929XQ"
LUCIANA,,,,,P-00-00645,"https://goo.su/jFkB9E6, https://goo.su/AJ7M, https://goo.su/fU29xj","https://goo.su/jFkB9E6, https://goo.su/AJ7M, https://goo.su/fU29xj"
SAN PABLO,,United States,,WDC9140,P-00-00651,"https://goo.su/O4AAwV, https://goo.su/XyJR8Qk, https://goo.su/EtSARSY, https://goo.su/2kIVPyc, https://goo.su/2KcfJp, https://goo.su/RwxKZ, https://goo.su/2Xz97, https://goo.su/2KcfJp","https://goo.su/O4AAwV, https://goo.su/XyJR8Qk, https://goo.su/EtSARSY, https://goo.su/2kIVPyc, https://goo.su/2KcfJp, https://goo.su/RwxKZ, https://goo.su/2Xz97, https://goo.su/2KcfJp"
RAYSA,,,,,P-00-00663,,
CAZELA I,,,,,P-00-00681,,
MANTARO I,,Ecuador,,,P-00-00889,,
ANGEL FERNANDO,,,,,P-00-00691,,
CARINA,,,,,P-00-00697,,
RICHARD,,,,,P-00-00713,"https://goo.su/gnsKyf, https://goo.su/wO98, https://goo.su/7tYFs, https://goo.su/Z5Js6MU, https://goo.su/f3FzQs, https://goo.su/e0HZ, https://goo.su/SeU1W, https://goo.su/XnsmFAq, https://goo.su/xCeNzp, https://goo.su/2L1XjRh, https://goo.su/Qmry, https://goo.su/nDa5Me, https://goo.su/CmJU2, https://goo.su/1HZM4B, https://goo.su/PSCv, https://goo.su/XOryox, https://goo.su/FVXz, https://goo.su/FF2YlE, https://goo.su/486qa, https://goo.su/fxdgG, https://goo.su/wCMQVxt, https://goo.su/ajiMsl, https://goo.su/Pz0iih, https://goo.su/FVXz, https://goo.su/FVXz, https://goo.su/XW7cH, https://goo.su/90FqWc, https://goo.su/lMRHKzv, https://goo.su/zW9NcB","https://goo.su/gnsKyf, https://goo.su/wO98, https://goo.su/7tYFs, https://goo.su/Z5Js6MU, https://goo.su/f3FzQs, https://goo.su/e0HZ, https://goo.su/SeU1W, https://goo.su/XnsmFAq, https://goo.su/xCeNzp, https://goo.su/2L1XjRh, https://goo.su/Qmry, https://goo.su/nDa5Me, https://goo.su/CmJU2, https://goo.su/1HZM4B, https://goo.su/PSCv, https://goo.su/XOryox, https://goo.su/FVXz, https://goo.su/FF2YlE, https://goo.su/486qa, https://goo.su/fxdgG, https://goo.su/wCMQVxt, https://goo.su/ajiMsl, https://goo.su/Pz0iih, https://goo.su/FVXz, https://goo.su/FVXz, https://goo.su/XW7cH, https://goo.su/90FqWc, https://goo.su/lMRHKzv, https://goo.su/zW9NcB"
CHONE,,,,,P-00-00719,https://goo.su/RwxKZ,https://goo.su/RwxKZ
GUADALUPE,,,,,P-00-00728,"https://goo.su/Ibh1UGS, https://goo.su/lo8j, https://goo.su/wsEYk, https://goo.su/7CKov, https://goo.su/q2xGsb, https://goo.su/0QQZZW, https://goo.su/U30GCz1, https://goo.su/vRulE, https://goo.su/vDfA, https://goo.su/efQLC, https://goo.su/YxVxD","https://goo.su/Ibh1UGS, https://goo.su/lo8j, https://goo.su/wsEYk, https://goo.su/7CKov, https://goo.su/q2xGsb, https://goo.su/0QQZZW, https://goo.su/U30GCz1, https://goo.su/vRulE, https://goo.su/vDfA, https://goo.su/efQLC, https://goo.su/YxVxD"
JOSE VICENTE,,,,,P-00-00729,,
MIGUEL ANTONIO,,,,,P-00-00753,"https://goo.su/d5PRqI, https://goo.su/d5PRqI","https://goo.su/d5PRqI, https://goo.su/d5PRqI"
DAVID ARMANDO,,,,,P-00-00796,,
TITANIC I,,,,,P-00-00820,,
ISABELA,,,,,P-00-00824,"https://goo.su/KrjhC, https://goo.su/JZUSt, https://goo.su/1Vk1u5, https://goo.su/BHvmAw, https://goo.su/WdzAdi, https://goo.su/1opmZU6, https://goo.su/tZYGOeu, https://goo.su/cXXLz, https://goo.su/rKdV, https://goo.su/cGHDwE6, https://goo.su/jFzh, https://goo.su/TnIWOd, https://goo.su/JZ97vg, https://goo.su/pgf6lTp, https://goo.su/xmGpg","https://goo.su/KrjhC, https://goo.su/JZUSt, https://goo.su/1Vk1u5, https://goo.su/BHvmAw, https://goo.su/WdzAdi, https://goo.su/1opmZU6, https://goo.su/tZYGOeu, https://goo.su/cXXLz, https://goo.su/rKdV, https://goo.su/cGHDwE6, https://goo.su/jFzh, https://goo.su/TnIWOd, https://goo.su/JZ97vg, https://goo.su/pgf6lTp, https://goo.su/xmGpg"
DIJAYMAR III,,,,,P-00-00841,,
ANITA,,,,,P-00-00870,"https://goo.su/XyJR8Qk, https://goo.su/a0ijZY, https://goo.su/ryafJ","https://goo.su/XyJR8Qk, https://goo.su/a0ijZY, https://goo.su/ryafJ"
ANGEL,,Spain,,,P-00-00871,"https://goo.su/TOh4N, https://goo.su/HzABJ6, https://goo.su/QfpA","https://goo.su/TOh4N, https://goo.su/HzABJ6, https://goo.su/QfpA"
DIJAYMAR IV,,,,,P-00-00872,,
PARDELA,,,,,P-00-00873,,
MARIA MONSERRATE III,,,,,P-00-00874,,
VICTORIA MARIA,,,,,P-00-00876,,
PALBER 2,,,,,P-00-00890,,
DON ROBIN,,,,,P-00-00900,,
REGALITO DE DIOS,,,,,P-00-00901,,
"B/P ELENA 

MANUEL ENRIQUE SUAREZ TITUAÑA",,,,,P-00-00907,,
HARRY A,,,,,P-00-00908,,
ADAIA Y DALIA,,,,,P-00-00914,,
MARIA JOSE,8678451.0,,,OA-2348,P-00-00919,,
DON MATIAS,,,,,P-00-00921,,
PROBARPES II,,,,,P-00-00923,,
REGALITO DE DIOS KYS,,Ecuador,,,P-00-00885,,
PROBARPES I,,,,,P-00-00924,,
MARIA DEL CARMEN,,Spain,,,P-00-00925,,
JESUS DEL GRAN PODER,,,,,P-00-00926,,
SAN JORGE I,,,,,P-00-00927,,
REGALITO DE DIOS 3.E.I.G,,,,,P-00-00928,,
JUNIOR,9202455.0,,,OULE,P-00-00932,"https://goo.su/Z5Js6MU, https://goo.su/KrJvb, https://goo.su/h1zMv, https://goo.su/Emx4Ar, https://goo.su/lAPo, https://goo.su/oG3V91, https://goo.su/zrwQzgW, https://goo.su/QSkMWjr, https://goo.su/kAu1Yuu, https://goo.su/KM8Sm4, https://goo.su/ivT1p, https://goo.su/Uq3UMzx, https://goo.su/t1QQ, https://goo.su/uorvXor, https://goo.su/OwHjP, https://goo.su/Di2xul, https://goo.su/FVXz, https://goo.su/jFkB9E6, https://goo.su/xz7fzC, https://goo.su/FVXz, https://goo.su/FVXz, https://goo.su/3fM7Qmj, https://goo.su/zozVq","https://goo.su/Z5Js6MU, https://goo.su/KrJvb, https://goo.su/h1zMv, https://goo.su/Emx4Ar, https://goo.su/lAPo, https://goo.su/oG3V91, https://goo.su/zrwQzgW, https://goo.su/QSkMWjr, https://goo.su/kAu1Yuu, https://goo.su/KM8Sm4, https://goo.su/ivT1p, https://goo.su/Uq3UMzx, https://goo.su/t1QQ, https://goo.su/uorvXor, https://goo.su/OwHjP, https://goo.su/Di2xul, https://goo.su/FVXz, https://goo.su/jFkB9E6, https://goo.su/xz7fzC, https://goo.su/FVXz, https://goo.su/FVXz, https://goo.su/3fM7Qmj, https://goo.su/zozVq"
PERLA NEGRA,,,,CB9609,P-00-00937,https://goo.su/i8uy,https://goo.su/i8uy
MARIA DEL CARMEN G,,,,,P-00-00938,,
MILAGRITO,,,,,P-00-00940,,
DAVID A,,,,,P-00-00941,,
CARLOS ANDRES,,,,,P-00-00946,,
LUKA B,,,,,P-00-00950,,
JORGE LUIS,,,,,P-02-00045,"https://goo.su/rhTa9, https://goo.su/uzYIu, https://goo.su/zE6gPOw","https://goo.su/rhTa9, https://goo.su/uzYIu, https://goo.su/zE6gPOw"
CONCHITA V,,,,,P-02-00047,,
JOEL,,,,,P-02-00065,"https://goo.su/wisk6P7, https://goo.su/gRmOAzz, https://goo.su/hnDwUeT, https://goo.su/pJaJ, https://goo.su/cmaQU, https://goo.su/nDa5Me, https://goo.su/WTFNN, https://goo.su/ZsdL, https://goo.su/bwRUY, https://goo.su/ZsdL, https://goo.su/s8Zx84d, https://goo.su/qFPJ, https://goo.su/xWvM, https://goo.su/g4Dbo4","https://goo.su/wisk6P7, https://goo.su/gRmOAzz, https://goo.su/hnDwUeT, https://goo.su/pJaJ, https://goo.su/cmaQU, https://goo.su/nDa5Me, https://goo.su/WTFNN, https://goo.su/ZsdL, https://goo.su/bwRUY, https://goo.su/ZsdL, https://goo.su/s8Zx84d, https://goo.su/qFPJ, https://goo.su/xWvM, https://goo.su/g4Dbo4"
ATLANTICO,,,,,P-02-00078,"https://goo.su/FACZF, https://goo.su/qUzl, https://goo.su/Ho0FG, https://goo.su/zJU49u, https://goo.su/Erv8, https://goo.su/EoX6U5v, https://goo.su/zFKj, https://goo.su/KUswJ","https://goo.su/FACZF, https://goo.su/qUzl, https://goo.su/Ho0FG, https://goo.su/zJU49u, https://goo.su/Erv8, https://goo.su/EoX6U5v, https://goo.su/zFKj, https://goo.su/KUswJ"
ENNY-B,,,,,P-02-00084,,
PERLA GISELLA,,,,,P-03-11106,,
GISELLA PERLA,,,,,P-03-11336,,
PERLA DEL PACIFICO,,,,,P-03-11426,,
JOCY,,,,,P-03-11883,,
DANNA ISABELLA,,Ecuador,,HC2687,P-04-00054,,
MARIA CANDELARIA,,,,,P-04-00085,,
DON BYRON,,Ecuador,,HC2588,P-04-00108,,
DON EDUARDO,,,,,P-04-00163,,
AIDA LIDUVINA ZAMBRANO ORBE,,,,,P-04-00170,,
JOSE JEAN PIERRE,,,,,P-04-00183,,
MI FABY,,,,,P-04-00295,,
DON ARMANDO I,,Ecuador,,,P-00-00858,,
SAN ANTONIO VI,,Ecuador,,,P-00-00917,,
DOÑA ANTUCA,,Ecuador,,,P-00-00918,,
SIEMPRE MARY,,,,,P-04-00296,,
LADY MAR II,,Ecuador,,,P-04-00310,,
NUEVA ESPERANZA,,Ecuador,,,P-04-00907,"https://goo.su/NS3b, https://acortar.link/BI0tAJ","https://goo.su/NS3b, https://acortar.link/BI0tAJ"
DON FAUSTO III,,Ecuador,,,P-00-00617,,
MI BLANQUITA,,,,PT38081,P-04-00315,,
CIUDAD DE VALENCIA,,,,,P-04-00320,,
SAN MATEO,,,,,P-04-00322,"https://goo.su/E2rhyBk, https://goo.su/UJa4, https://goo.su/WXSyy, https://goo.su/cetZ0, https://goo.su/1Vk1u5, https://goo.su/igBVbD, https://goo.su/uaBM3f, https://goo.su/zkCN","https://goo.su/E2rhyBk, https://goo.su/UJa4, https://goo.su/WXSyy, https://goo.su/cetZ0, https://goo.su/1Vk1u5, https://goo.su/igBVbD, https://goo.su/uaBM3f, https://goo.su/zkCN"
MARIA AMELIA,,,,,P-04-00324,,
DON LITTER,,,,,P-04-00331,,
APOLO,,,,,P-04-00332,"https://goo.su/DOz8bl, https://goo.su/c6SpcbO, https://goo.su/gAUO, https://goo.su/ec7UUcg","https://goo.su/DOz8bl, https://goo.su/c6SpcbO, https://goo.su/gAUO, https://goo.su/ec7UUcg"
DANNA VALENTINA,,,,,P-04-00338,,
JOAO,,Ecuador,,,P-00-00892,https://goo.su/vR4z,https://goo.su/vR4z
BARBARA MARINA,,Ecuador,,,P-04-01012,,
DON EGBER,,Ecuador,,,P-04-01014,,
DON ROSENDO I,,Ecuador,,HC2215,P-04-00348,,
NIÑA TAHIZ,,,,,P-04-00352,,
MARIA MONSERRATE,,Ecuador,,HC2655,P-04-00363,,
SAN MIGUEL,,Spain,,,P-04-00367,"https://goo.su/TUl9G7, https://goo.su/XY7GS1z, https://goo.su/QzZ2bB, https://goo.su/AnvVPXN, https://goo.su/zE6gPOw, https://goo.su/Jf6t5Bi, https://goo.su/WEamnRa","https://goo.su/TUl9G7, https://goo.su/XY7GS1z, https://goo.su/QzZ2bB, https://goo.su/AnvVPXN, https://goo.su/zE6gPOw, https://goo.su/Jf6t5Bi, https://goo.su/WEamnRa"
NAMI I,,,,,P-04-00389,,
NAMI II,,,,,P-04-00390,,
