Vessel name,IMO Number,Flag,MMSI,Callsign,National registration number,Crime Report Links,Crime report links
GENESIS,1017464.0,United States,,WDH62,P-04-00981,"https://goo.su/IGDZ, https://goo.su/kblaE, https://goo.su/f3FzQs, https://goo.su/uC7bGN, https://goo.su/Wdgtcz, https://goo.su/m8aFAIt, https://goo.su/Cfd8j, https://goo.su/QqsKK1, https://goo.su/UxxYNJ, https://goo.su/CqyUYL, https://goo.su/SrBV1mw, https://goo.su/XMqg, https://goo.su/XGfZBp, https://goo.su/XGfZBp, https://goo.su/gzpu3G, https://goo.su/Dn9Svci, https://goo.su/zXlDwO, https://goo.su/mJILW, https://goo.su/zcJUstj, https://goo.su/Kigszz, https://goo.su/jH8hk7, https://goo.su/BFUdYNy, https://goo.su/XC8GMtq, https://goo.su/yptqQd, https://goo.su/fxdgG, https://goo.su/EvzhM, https://goo.su/c8SRF, https://goo.su/ztfqT, https://goo.su/D5yUn, https://goo.su/8grS3H, https://goo.su/irGS, https://goo.su/DPNtNM, https://goo.su/lvEuU, https://goo.su/s4h5zN, https://goo.su/oiCV7, https://goo.su/UqzyJ, https://goo.su/s5U7Qxr, https://goo.su/HTSP5x, https://goo.su/lMRHKzv, https://goo.su/E5TE0Ij, https://goo.su/igjRtk, https://goo.su/XodUH, https://goo.su/zvx8a","https://goo.su/IGDZ, https://goo.su/kblaE, https://goo.su/f3FzQs, https://goo.su/uC7bGN, https://goo.su/Wdgtcz, https://goo.su/m8aFAIt, https://goo.su/Cfd8j, https://goo.su/QqsKK1, https://goo.su/UxxYNJ, https://goo.su/CqyUYL, https://goo.su/SrBV1mw, https://goo.su/XMqg, https://goo.su/XGfZBp, https://goo.su/XGfZBp, https://goo.su/gzpu3G, https://goo.su/Dn9Svci, https://goo.su/zXlDwO, https://goo.su/mJILW, https://goo.su/zcJUstj, https://goo.su/Kigszz, https://goo.su/jH8hk7, https://goo.su/BFUdYNy, https://goo.su/XC8GMtq, https://goo.su/yptqQd, https://goo.su/fxdgG, https://goo.su/EvzhM, https://goo.su/c8SRF, https://goo.su/ztfqT, https://goo.su/D5yUn, https://goo.su/8grS3H, https://goo.su/irGS, https://goo.su/DPNtNM, https://goo.su/lvEuU, https://goo.su/s4h5zN, https://goo.su/oiCV7, https://goo.su/UqzyJ, https://goo.su/s5U7Qxr, https://goo.su/HTSP5x, https://goo.su/lMRHKzv, https://goo.su/E5TE0Ij, https://goo.su/igjRtk, https://goo.su/XodUH, https://goo.su/zvx8a"
DEMARCO I,,Ecuador,,,P-00-00714,,
DANI IV,,,,,P-04-00994,,
MI ANTONELLA,,,,,P-04-01002,,
SIEMPRE RAI MUNDI,,Ecuador,,HC5833,P-04-01003,,
GUSY FER,,Ecuador,,HC6053,P-04-01008,,
SIEMPRE LUQUITAS CV,,,,,P-04-01009,,
ANTONELA,,,,,P-04-01015,,
DIVINO NIÑO,,,,,P-04-01016,,
BRISAS DEL MAR I,,,,,P-04-01018,,
GIUCRIS,,,,,P-04-01021,,
REGALO DE DIOS,,,,,P-04-01024,,
REY ADONAY I,,,,,P-04-01026,,
DON MACA,,,,,P-04-01030,,
KARELITA,,,,,P-04-01033,,
VIRGEN DEL VALLE,,,,,P-04-01037,,
AMPARITO,,,,,P-04-01038,,
AMBAR,,Ecuador,,HC6330,P-04-01039,https://goo.su/JXrNH,https://goo.su/JXrNH
SIEMPRE POPEYE,,Ecuador,,HC6258,P-04-01042,,
MILAN NEYMAR,,,,,P-04-01043,,
D.J.X,,,,,P-04-01044,,
LAURITA,,,,,P-04-01045,,
CASPIAN,9939773.0,,257735000.0,LGWF,P-04-01048,,
COSTA MARLIN,,Ecuador,,HC4338,P-04-01049,,
J.O.R.C.,,,,,P-04-01050,,
REY FERNANDO XAVIER,,Ecuador,,HC6282,P-04-01052,,
IKER,,Ecuador,,HC6271,P-04-01053,,
LUNA AZUL,,Ecuador,,HC4823,P-04-01060,,
OCEANIC,,Ecuador,,HC6362,P-04-01064,,
BRIGIDA MARQUEZ II,,,,,P-04-01065,,
"ELIZALDE RIVAS ANTONIO MAURICIO
B/P SIMON BOLIVAR",,,,,P-04-01066,,
DON DARLIN,,,,,P-04-01067,,
EL SHADDAI,8025082.0,,,ZR6358,P-04-01068,,
J.O.R.C.II,,,,,P-04-01071,,
ARIZONA,,,247143420.0,ITVX,P-04-01072,"https://goo.su/JHTjpW1, https://goo.su/UIs67mD, https://goo.su/JY8YOZQ, https://goo.su/ckGUo","https://goo.su/JHTjpW1, https://goo.su/UIs67mD, https://goo.su/JY8YOZQ, https://goo.su/ckGUo"
O.M.,,,,,P-04-01075,,
IDA MARIA,,,,,P-04-01079,,
SAN LUIS I,,,,,P-04-01080,,
CONNOR R,,,,,P-04-01086,,
