Vessel name,IMO Number,Flag,MMSI,Callsign,Crime Report Links,Crime report links
Daniel,,,,PT66148,"https://goo.su/EXVdUhC, https://goo.su/P3xal6R, https://goo.su/Z5Js6MU, https://goo.su/jqcUfr, https://goo.su/bdULc, https://goo.su/U5DU8zp, https://goo.su/sHLr, https://goo.su/GRDzA, https://goo.su/93FU01q, https://goo.su/ntS3, https://goo.su/zEcz, https://goo.su/XVQ9, https://goo.su/N19Lzm, https://goo.su/owA6k, https://goo.su/1Vk1u5, https://goo.su/PURh2, https://goo.su/EYjU, https://goo.su/vnGJ, https://goo.su/d3iAnyB, https://goo.su/KNjetg, https://goo.su/Qawv, https://goo.su/vNnI, https://goo.su/jnz0, https://goo.su/6zdeZ, https://goo.su/KxIjp, https://goo.su/rgU4jA5, https://goo.su/tZYGOeu, https://goo.su/bp7lH, https://goo.su/ZQFQL, https://goo.su/DOz8bl, https://goo.su/0eGwJ, https://goo.su/cGHDwE6, https://goo.su/VZ9j, https://goo.su/kfpmvI, https://goo.su/VEBWa2Y, https://goo.su/HLDGEq, https://goo.su/myPkSX, https://goo.su/6Oe1bjN, https://goo.su/kuBnz, https://goo.su/BLKepf6, https://goo.su/fbF3XKz, https://goo.su/fbF3XKz, https://goo.su/U1RFOo1, https://goo.su/9zIUEwS, https://goo.su/lvp9k, https://goo.su/ZSrFUo, https://goo.su/x7Km, https://goo.su/5wmGB5X, https://goo.su/OJzBX, https://goo.su/0eYeWdG, https://goo.su/9x967Q, https://goo.su/gAUO, https://goo.su/jYw5Mc, https://goo.su/LVFzzTE, https://goo.su/KWuYFL, https://goo.su/JfGg, https://goo.su/q7AESCO, https://goo.su/NIHWU, https://goo.su/TLj3, https://goo.su/cihe, https://goo.su/sPwr4, https://goo.su/glfLbiS, https://goo.su/XW7cH, https://goo.su/oaY5, https://goo.su/rsphOn9, https://goo.su/RwxKZ, https://goo.su/42g2EP, https://goo.su/xmGpg, https://goo.su/y7hjn, https://goo.su/AeQ2YKk, https://goo.su/ikMvi3w, https://goo.su/ImJm4X, https://goo.su/FUImv, https://goo.su/k0VU, https://goo.su/U2m9S2","https://goo.su/EXVdUhC, https://goo.su/P3xal6R, https://goo.su/Z5Js6MU, https://goo.su/jqcUfr, https://goo.su/bdULc, https://goo.su/U5DU8zp, https://goo.su/sHLr, https://goo.su/GRDzA, https://goo.su/93FU01q, https://goo.su/ntS3, https://goo.su/zEcz, https://goo.su/XVQ9, https://goo.su/N19Lzm, https://goo.su/owA6k, https://goo.su/1Vk1u5, https://goo.su/PURh2, https://goo.su/EYjU, https://goo.su/vnGJ, https://goo.su/d3iAnyB, https://goo.su/KNjetg, https://goo.su/Qawv, https://goo.su/vNnI, https://goo.su/jnz0, https://goo.su/6zdeZ, https://goo.su/KxIjp, https://goo.su/rgU4jA5, https://goo.su/tZYGOeu, https://goo.su/bp7lH, https://goo.su/ZQFQL, https://goo.su/DOz8bl, https://goo.su/0eGwJ, https://goo.su/cGHDwE6, https://goo.su/VZ9j, https://goo.su/kfpmvI, https://goo.su/VEBWa2Y, https://goo.su/HLDGEq, https://goo.su/myPkSX, https://goo.su/6Oe1bjN, https://goo.su/kuBnz, https://goo.su/BLKepf6, https://goo.su/fbF3XKz, https://goo.su/fbF3XKz, https://goo.su/U1RFOo1, https://goo.su/9zIUEwS, https://goo.su/lvp9k, https://goo.su/ZSrFUo, https://goo.su/x7Km, https://goo.su/5wmGB5X, https://goo.su/OJzBX, https://goo.su/0eYeWdG, https://goo.su/9x967Q, https://goo.su/gAUO, https://goo.su/jYw5Mc, https://goo.su/LVFzzTE, https://goo.su/KWuYFL, https://goo.su/JfGg, https://goo.su/q7AESCO, https://goo.su/NIHWU, https://goo.su/TLj3, https://goo.su/cihe, https://goo.su/sPwr4, https://goo.su/glfLbiS, https://goo.su/XW7cH, https://goo.su/oaY5, https://goo.su/rsphOn9, https://goo.su/RwxKZ, https://goo.su/42g2EP, https://goo.su/xmGpg, https://goo.su/y7hjn, https://goo.su/AeQ2YKk, https://goo.su/ikMvi3w, https://goo.su/ImJm4X, https://goo.su/FUImv, https://goo.su/k0VU, https://goo.su/U2m9S2"
Don Mauricio I,,,,CB4905,,
Guajache II,,,,2756,,
Icalma,7212042.0,,,cb2809,,
Ike I,,,,,,
Isaac,,,,CB8039,"https://goo.su/7Ys4ZMT, https://goo.su/z3Bh, https://goo.su/fnns3, https://goo.su/XFAUy, https://goo.su/tYpTOJz","https://goo.su/7Ys4ZMT, https://goo.su/z3Bh, https://goo.su/fnns3, https://goo.su/XFAUy, https://goo.su/tYpTOJz"
Josue,,,,CB6783,,
Pelicano,9105671.0,,,ca2541,,
Relampago,8800949.0,,,cb3849,,
Salmon,8803331.0,,,cb4149,https://goo.su/qKJIlju,https://goo.su/qKJIlju
Tornado,8404575.0,,,,"https://goo.su/j1NMJUF, https://goo.su/v7Gq","https://goo.su/j1NMJUF, https://goo.su/v7Gq"
Valentina,,,247086280.0,ILCO,"https://goo.su/JY8YOZQ, https://goo.su/PSsro","https://goo.su/JY8YOZQ, https://goo.su/PSsro"
Amadeus IV,,,,,,
Arkhos II,,,,,,
Arkhos III,,,,,,
Arkhos IV,,,,,,
Cesar Miguel,,,,,,
Chango I,,,,,,
